Price,Close,High,Low,Open,Volume
Ticker,CIFR,CIFR,CIFR,CIFR,CIFR
Date,,,,,
2024-01-02,4.130000114440918,4.769999980926514,4.090000152587891,4.690000057220459,10280900
2024-01-03,3.930000066757202,4.28000020980835,3.6600000858306885,3.759999990463257,11653400
2024-01-04,4.190000057220459,4.328999996185303,3.9600000381469727,4.099999904632568,8359000
2024-01-05,3.9100000858306885,4.110000133514404,3.7799999713897705,4.110000133514404,7623800
2024-01-08,4.039999961853027,4.065000057220459,3.5199999809265137,3.994999885559082,12200300
2024-01-09,3.819999933242798,4.010000228881836,3.7899999618530273,3.950000047683716,6224300
2024-01-10,3.7899999618530273,3.9700000286102295,3.5999999046325684,3.680000066757202,8362800
2024-01-11,3.509999990463257,4.119999885559082,3.309999942779541,4.0,9548500
2024-01-12,3.259999990463257,3.509999990463257,3.2200000286102295,3.3399999141693115,7368100
2024-01-16,2.9000000953674316,3.109999895095825,2.8399999141693115,3.109999895095825,7744700
2024-01-17,2.799999952316284,2.880000114440918,2.759999990463257,2.8299999237060547,4366200
2024-01-18,2.630000114440918,2.890000104904175,2.5999999046325684,2.880000114440918,6261500
2024-01-19,2.680000066757202,2.690000057220459,2.4600000381469727,2.609999895095825,6353500
2024-01-22,2.819999933242798,2.86899995803833,2.555000066757202,2.630000114440918,5112400
2024-01-23,2.740000009536743,2.8499999046325684,2.700000047683716,2.819999933242798,3238200
2024-01-24,2.2850000858306885,2.859999895095825,2.2149999141693115,2.799999952316284,14872000
2024-01-25,2.359999895095825,2.390000104904175,2.1549999713897705,2.259999990463257,6340600
2024-01-26,2.75,2.859999895095825,2.450000047683716,2.4600000381469727,11368600
2024-01-29,3.109999895095825,3.2100000381469727,2.7100000381469727,2.8399999141693115,12916600
2024-01-30,3.0799999237060547,3.2100000381469727,3.009999990463257,3.190000057220459,7983100
2024-01-31,3.0399999618530273,3.2899999618530273,2.859999895095825,2.9100000858306885,15425700
2024-02-01,2.859999895095825,3.109999895095825,2.799999952316284,3.0299999713897705,7357300
2024-02-02,2.680000066757202,2.869999885559082,2.625,2.869999885559082,5191700
2024-02-05,2.450000047683716,2.630000114440918,2.440000057220459,2.5999999046325684,4842800
2024-02-06,2.5899999141693115,2.5999999046325684,2.4000000953674316,2.4100000858306885,3729200
2024-02-07,2.509999990463257,2.634999990463257,2.4200000762939453,2.5899999141693115,4441500
2024-02-08,2.9000000953674316,2.9100000858306885,2.6089999675750732,2.619999885559082,6626400
2024-02-09,3.3499999046325684,3.440000057220459,3.069999933242798,3.299999952316284,12150700
2024-02-12,3.9000000953674316,3.9600000381469727,3.359999895095825,3.4000000953674316,10703000
2024-02-13,3.5,3.6500000953674316,3.1500000953674316,3.4800000190734863,10378100
2024-02-14,4.019999980926514,4.059999942779541,3.680000066757202,3.9600000381469727,11455900
2024-02-15,4.199999809265137,4.46999979019165,3.993000030517578,4.099999904632568,14958700
2024-02-16,3.7799999713897705,4.25,3.759999990463257,4.199999809265137,13092800
2024-02-20,3.5,3.8499999046325684,3.2200000286102295,3.7799999713897705,9181200
2024-02-21,3.130000114440918,3.430000066757202,3.1050000190734863,3.3299999237060547,4544500
2024-02-22,3.244999885559082,3.430000066757202,3.1500000953674316,3.2300000190734863,3969300
2024-02-23,3.0299999713897705,3.1500000953674316,2.9600000381469727,3.140000104904175,5082200
2024-02-26,3.4000000953674316,3.4649999141693115,2.9700000286102295,3.0199999809265137,9781700
2024-02-27,3.450000047683716,3.680000066757202,3.240000009536743,3.5999999046325684,9536700
2024-02-28,3.2699999809265137,3.7200000286102295,3.1600000858306885,3.569999933242798,13185800
2024-02-29,2.9600000381469727,3.309999942779541,2.9200000762939453,3.299999952316284,8585200
2024-03-01,3.0899999141693115,3.0899999141693115,2.825000047683716,3.0,4668600
2024-03-04,2.869999885559082,3.194999933242798,2.8499999046325684,3.0899999141693115,10622500
2024-03-05,2.8499999046325684,3.190000057220459,2.809999942779541,3.0799999237060547,10661900
2024-03-06,3.630000114440918,3.8299999237060547,2.9100000858306885,2.9200000762939453,19048500
2024-03-07,3.4200000762939453,3.569999933242798,3.2799999713897705,3.5399999618530273,9012300
2024-03-08,3.509999990463257,3.799999952316284,3.2799999713897705,3.549999952316284,12802200
2024-03-11,3.1600000858306885,3.700000047683716,3.1500000953674316,3.6600000858306885,8455400
2024-03-12,3.134999990463257,3.240000009536743,3.0450000762939453,3.200000047683716,4791700
2024-03-13,3.380000114440918,3.4600000381469727,3.0399999618530273,3.0899999141693115,7441200
2024-03-14,3.1700000762939453,3.380000114440918,3.0420000553131104,3.3299999237060547,6672400
2024-03-15,3.5299999713897705,3.5399999618530273,3.0899999141693115,3.0899999141693115,10568200
2024-03-18,3.950000047683716,4.070000171661377,3.4000000953674316,3.619999885559082,14272000
2024-03-19,4.099999904632568,4.260000228881836,3.690000057220459,3.799999952316284,14220500
2024-03-20,4.550000190734863,4.710000038146973,4.119999885559082,4.300000190734863,15720900
2024-03-21,4.829999923706055,5.045000076293945,4.28000020980835,4.300000190734863,12449400
2024-03-22,4.619999885559082,4.809999942779541,4.510000228881836,4.690000057220459,8122600
2024-03-25,5.260000228881836,5.460000038146973,4.760000228881836,4.809999942779541,16804100
2024-03-26,5.21999979019165,5.480000019073486,5.159999847412109,5.369999885559082,12534000
2024-03-27,5.329999923706055,5.65500020980835,5.25,5.329999923706055,11048400
2024-03-28,5.150000095367432,5.75,5.03000020980835,5.349999904632568,14473600
2024-04-01,4.880000114440918,4.940000057220459,4.610000133514404,4.940000057220459,6556400
2024-04-02,4.289999961853027,4.369999885559082,4.0,4.340000152587891,10712300
2024-04-03,4.349999904632568,4.489999771118164,4.15500020980835,4.239999771118164,5025400
2024-04-04,4.159999847412109,4.590000152587891,4.150000095367432,4.440000057220459,6297800
2024-04-05,4.050000190734863,4.215000152587891,3.884999990463257,4.059999942779541,4827000
2024-04-08,4.289999961853027,4.550000190734863,3.9100000858306885,4.320000171661377,8056600
