Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2024-01-02,344.97222900390625,351.8160808920403,338.716128268748,349.9830865162906,19042200
2024-01-03,343.1591491699219,346.62591726275565,341.8740496456423,343.66721813563737,15451100
2024-01-04,345.799072265625,346.82515151005265,342.0932270563571,343.1890472206602,12099900
2024-01-05,350.6106872558594,352.1547766619745,344.9423377821408,345.6695403534004,13920700
2024-01-08,357.2951965332031,357.6139861351419,350.71033372458857,353.35027401392244,13890200
2024-01-09,356.0697937011719,359.2675999429573,354.00766378483024,355.0437145797441,13463900
2024-01-10,369.0602111816406,371.52081303638715,357.71354020244286,358.7994190594283,22117200
2024-01-11,368.2632751464844,371.3614257933393,361.54890279679216,370.7139053766167,17205400
2024-01-12,373.0649108886719,375.6251383403932,368.13376579525925,368.75140159107906,19295700
2024-01-16,366.0616455078125,374.18062511376075,365.83254021530996,372.22809228321756,15306900
2024-01-17,366.96820068359375,367.1375671425744,357.24533163937014,364.9060705610555,12724800
2024-01-18,374.69866943359375,375.4159307418802,369.538388844185,370.07631202431554,16354300
2024-01-19,381.9908142089844,382.8973245006052,376.53165710401225,377.55773627942625,21470100
2024-01-22,380.3271789550781,388.86457410324226,379.709543157918,386.4737131071769,17680500
2024-01-23,383.73419189453125,386.9020835897568,380.62603904482796,383.1563819718862,15506100
2024-01-24,389.2132568359375,394.6424993667114,386.33423974231664,388.5159084294594,15698500
2024-01-25,391.6838073730469,393.98501459525295,384.19243450782756,388.6852821328243,15091100
2024-01-26,392.6401672363281,395.28007693344165,390.09985268135483,392.8493595968491,13163700
2024-01-29,399.49395751953125,401.39669290120037,391.6041131153973,393.4869051476428,18742400
2024-01-30,398.5376281738281,404.8136422913508,398.04950252510577,402.0541940628019,18614700
2024-01-31,388.6553649902344,396.48543973502103,385.626924978346,387.5196885852341,20180800
2024-02-01,393.2777099609375,398.9759443902595,391.55428232778945,392.4409101302402,29727100
2024-02-02,473.1824645996094,484.1107206070922,451.28612668957794,457.85104547308083,84615500
2024-02-05,457.6617431640625,470.10420340045386,457.47246376690913,468.09190134825633,40832400
2024-02-06,452.9895935058594,465.3424000231986,451.27613763916276,462.2342778467363,21655200
2024-02-07,467.8030090332031,469.72565727567735,454.4440360712511,456.25711750265236,23066000
2024-02-08,468.21148681640625,468.799238013385,463.26039817592806,466.53788709604834,18815100
2024-02-09,466.32861328125,471.78777032551,465.6910645820025,471.15022162626246,18413100
2024-02-12,467.1156311035156,477.3266255183887,464.8044523883876,466.4083414662073,19382000
2024-02-13,458.3690490722656,466.1095004797401,453.35819150952534,455.13141666051735,20916600
2024-02-14,471.4789733886719,472.3058015200687,464.3163318688956,466.1493262626268,16858400
2024-02-15,482.1880798339844,486.7606094833743,470.42302382509234,473.4713769246856,24212300
2024-02-16,471.51885986328125,477.13738189040566,467.4244840358303,476.29061035612744,23306500
2024-02-20,469.9548034667969,474.36793825705894,464.7845510505949,467.93252964090965,18015500
2024-02-21,466.7436218261719,467.71095700577064,460.52078215831216,465.21782823708315,12977100
2024-02-22,484.7939147949219,488.6432912803049,474.7515840939021,478.9200883885395,21625800
2024-02-23,482.69970703125,493.0013030163017,481.024331590762,486.70864764249717,18374300
2024-02-26,480.41595458984375,484.80388578084165,479.27910364214137,482.1412107369271,12101400
2024-02-27,485.7113952636719,485.9307918400924,478.60101669077625,478.6608493540087,10809600
2024-02-28,482.689697265625,489.70037463345716,481.42319871917215,483.66701476706055,12715500
2024-02-29,488.782958984375,490.3486513882552,481.2836070543019,487.09760125117754,17732000
2024-03-01,500.91943359375,502.8640862594586,490.4981733186981,490.7574380227447,16273600
2024-03-04,496.8207702636719,503.0336586030815,495.05564591187573,501.6175479595631,12324100
2024-03-05,488.8726806640625,494.2179346329204,486.54909782644194,493.6395420956379,15325300
2024-03-06,494.7265319824219,501.5876277126765,492.9314913143984,496.2623079349238,11757900
2024-03-07,510.78228759765625,518.4212078949104,500.00200048626294,501.8967723955973,18586400
2024-03-08,504.5594482421875,522.1310161834099,497.97758173830397,512.7767915090476,18575200
2024-03-11,482.2608642578125,495.95313873552806,474.69172878903987,495.64399319559266,20428300
2024-03-12,498.3764953613281,500.92945706495095,483.3977870371672,491.9043421088278,15448200
2024-03-13,494.2079772949219,499.6031120437849,489.6804465591492,494.02847931297975,12090700
2024-03-14,490.4782409667969,499.972095675005,486.81834463819604,498.8850950832054,12620000
2024-03-15,482.76947021484375,490.47820503950635,479.9771476795585,487.6659788635188,29141700
2024-03-18,495.6141052246094,496.0528983580825,485.47204318250544,490.55803236870526,11755300
2024-03-19,494.8760986328125,495.2650413448604,479.95722399037857,486.8283017669424,10903100
2024-03-20,504.130615234375,506.8032726379858,493.80908557541954,498.1271715899645,11711100
2024-03-21,506.3644714355469,513.624431278809,504.61928117249084,513.2953820823078,9712500
2024-03-22,508.179443359375,508.5683860811608,502.9538548537801,505.60654769094856,8117000
2024-03-25,501.6374816894531,505.8259505229309,498.8651234985178,504.39988805944944,8380600
2024-03-26,494.527099609375,508.5983047664013,493.8489454067389,503.74169445106367,11205400
2024-03-27,492.5026550292969,498.516111326027,486.72859024249675,497.92770610698483,9989700
2024-03-28,484.2453918457031,491.5353286388912,483.8165809854279,491.48544780141845,15212800
2024-04-01,489.9995422363281,496.0628181093431,480.4558378508283,485.86095449988574,9247000
2024-04-02,496.0030212402344,496.16258514757675,483.3179797266994,483.7667551182063,11081000
2024-04-03,505.3472595214844,505.84588531504744,497.3792290791321,497.55872706072597,12099200
2024-04-04,509.5157775878906,528.543323855873,509.17668527772133,515.0006307036361,26476300
2024-04-05,525.890625,529.2413753821786,512.9961097327337,515.439388045014,19242000
2024-04-08,517.8228149414062,530.0291629395177,517.4638190279084,527.8252761921575,13260600
2024-04-09,515.4793701171875,524.4246876440302,505.3472598986763,520.7946772560042,10881400
2024-04-10,518.4013061523438,521.1237834896342,504.40983726108385,507.8902659720688,11418500
2024-04-11,521.7221069335938,522.4201952092246,515.8682450606731,519.6777533793505,10369500
2024-04-12,510.49310302734375,518.7603275568994,507.93015903557506,516.3270311463515,11944900
2024-04-15,498.8551940917969,517.1049171905591,495.9132896082773,515.2998333066029,13512900
2024-04-16,498.3864440917969,503.3826536596228,495.74370313879336,496.74095468824316,9847900
2024-04-17,492.81182861328125,501.77711061387714,485.80115119571866,501.7172779535386,12193700
2024-04-18,500.42083740234375,510.8022605755454,497.66844369943567,498.44629872495153,14808700
2024-04-19,479.7478332519531,501.4180909852817,474.4225133740298,501.4180909852817,25111000
2024-04-22,480.4059753417969,490.6577195293118,472.0988533161903,488.3740050762476,17271100
2024-04-23,494.73651123046875,497.38920406550506,487.62610264877077,489.89983501684435,15079200
2024-04-24,492.1436462402344,508.598297026382,483.24814890925757,506.66362655985995,37772700
2024-04-25,440.1669006347656,444.54481917964677,413.3607736978277,420.2418034096759,82890700
2024-04-26,442.0716857910156,445.21302235445665,430.7728077238356,440.2466982561305,32691400
2024-04-29,431.4309387207031,438.55132903326955,427.38210006858907,438.3518665599465,21502600
2024-04-30,428.98773193359375,438.4117412443997,428.5389565424444,429.8652877727225,18429500
2024-05-01,437.9829406738281,448.72332964673546,425.93612408194605,427.42204968812496,20344900
2024-05-02,440.466064453125,442.73979680670254,431.0919058176281,437.63387365717415,15221300
2024-05-03,450.7178039550781,452.9217518023227,442.6301084579704,444.7043783000628,16489100
2024-05-06,464.4001159667969,464.8788076890571,452.09403492299276,454.32786875946704,15094600
2024-05-07,466.9530944824219,470.23406087351526,460.04214797595876,465.0084720600217,13406800
2024-05-08,471.3011169433594,474.27290726340357,461.7274954012154,462.2261212061843,11683900
2024-05-09,474.11334228515625,474.77150152232457,466.3447442384856,468.70822552760484,9437700
2024-05-10,474.8912048339844,476.18761968792603,468.3093384541752,475.7787428964639,10750000
